Course Code,Course Name,Course Type,Course content category Only for 2022 Entrants,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Division Defined,Restrictions,Total Credits,Lecture,Tutorial,Practical,Self-Study,Half Semester,Text Reference,Course Description
GP 517,Exploration Seismology II,Theory,Advanced Course.,I - Bharath Chandra Shekar,"  Class Room : LT 305
FullSemester","4
Mon-4A-11:35:00-12:30:00-Class Room : LT 305
Thu-4C-09:30:00-10:25:00-Class Room : LT 305
Tue-4B-08:30:00-09:25:00-Class Room : LT 305", , ,25,,No restrictions,6.0,2.0,1.0, , ,N,"1. C.L. Liner, Elements of 3D Seismology, Pennwell Corporation, U.S., 2004. 2. R.E. Sheriff, and L.P. Geldart, Exploration Seismology, Cambridge Univ. Press 1995. 3. W.M. Telford, L.P. Geldart, and R.E. Sheriff, Applied Geophysics, Cambridge Univ. Press 1990. 4. M.B.Dobrin, and C.H. Savit, Introduction to Geophysical Prospecting, McGraw Hill, 1988. 5. E. S. Robinson and C. Coruh, Basic Exploration Geophysics, John Wiley and Sons, New York, 1988. 6. G.Nichols, Sedimentology and Stratigraphy, Blackwell Sci. Pub., 1999","3-D marine and land seismic data acquisition, processing and interactive 3-D interpretation, Modeling, Synthetic seismograms, Seismic stratigraphy - seismic sequences, Time significance of reflections, Depositional models, Seismic Facies Analysis, Reflection Character Analysis, Hydrocarbon indicators, Amplitude variation with Offset, Vertical Seismic Profiling, Geological interpretation of seismic sections using 3-D seismic data, Reservoir Geophysics."
GP 519,Engineering & Ground Water Geology Lab,Lab,Advanced Course.,"A - Vikram Vishal
I - D Ramakrishnan","  Class : CL 110 ESE
FullSemester","L
Tue-L2-14:00:00-16:55:00-Class : CL 110 ESE", , Biometric Enabled,25,,No restrictions,3.0, , ,3.0, ,N,"1. K.V.G.K. Gokhale, and D.M. Rao, Experiments in Engineering Geology, Tata McGraw Hill,1981. 2. V.S. Vutukuri, R.D. Lama, and S.S. Saluja, Handbook of Mechanical Properties of Rocks, Trans Tech. S.A., Switzerland, Vol 1,2,3 & 4, 1974.","Study of rocks for their mineralogical, textural, weathering and discontinuity aspects. Engineering properties of rocks, soils, clays and construction aggregates. Maps and numerical exercises. Instrumentation in engineering geology and hydrogeology. Geophysical Surveys resistivity, gravity and magnetic methods."
GP 521,Electromagnetic Lab,Lab,Advanced Course.,I - Anand Singh,"  Computer Lab - 2
FullSemester","L
Fri-L4-14:00:00-16:55:00-Computer Lab - 2", , ,25,,No restrictions,3.0, , ,3.0, ,N,"Texts and References: 1. W.M. Telford, L.P.Geldart, and R.E.Sheriff, Applied Geophysics, Cambridge Univ. Press, 1990. 2. M.N. Nabhigian (Editor), Electromagnetic Methods in Geophysics, Vol.2 Society of Exploration Geophysicists (SEG) Publication, 1988.","Calculation of Electric field due to a point and dipole sources; Computations on Coulomb Forces and Electric field intensity; Analysis and interpretation of VLF EM, Transient Electromagnetic (TEM), Magnetotelluric (MT) data sets; Computer programming for data processing of geomagnetic deep sounding data."
GP 523,Industrial Training,Non-credit,Advanced Course.,I - Anand Singh,"  Class : 202
FullSemester","15
Fri-15B-19:00:00-20:25:00-Class : 202
Tue-15A-19:00:00-20:25:00-Class : 202", , ,25,,No restrictions, , , , , ,N, ,"3 weeks in summer vacation after 2nd semester, P/NP on basis of certificate from training centre / lab."
GP 525,Computational Geophysics,Theory,Advanced Course.,I - Anand Singh,"  Class : 201
FullSemester","13
Mon-13A-19:00:00-20:25:00-Class : 201
Thu-13B-19:00:00-20:25:00-Class : 201", , ,25,,No restrictions,6.0,3.0, , , ,N, , 
GP 401,Global Geophysics,Theory,Advanced Course.,I - Kumar Hemant Singh,"  Class Room : LT 306
FullSemester","3
Mon-3A-10:35:00-11:30:00-Class Room : LT 306
Thu-3C-08:30:00-09:25:00-Class Room : LT 306
Tue-3B-11:35:00-12:30:00-Class Room : LT 306", , ,25,,No restrictions,4.0,2.0, , , ,N,"Texts and References:1. D.L.Turcotte and G. Schubert, Geodynamics, Cambridge University Press, 2002.2. B.J. Skinner and S.C. Porter, The Blue Planet, Wiley, 1995. 3. C.M.R.Fowler, Solid Earth: An introduction to Global Geophysics, Cambridge University Press, 1990. 4. Kent C. Condie, Plate Tectonics and Crustal Evolution, Oxford, Pergamon Press, 1989. 5. William Lowreie, Fundamentals of Geophysics, Cambridge University Press, 1997.","The Solar system and evolution of the Earth; Structure and composition of the earth Geodynamics. Theory and fundamental concepts of Plate Tectonics: Rotation vectors, rotation poles, present day plate motions and triple junctions. Geophysical framework of the earth: Spherical harmonic representation of potential functions. Gravity: figure of the earth, shape, rotation, tidal friction, gravity field of earth and Isostasy. Geomagnetism: internal, external field & their causes, geodynamo theory. Paleomagnetism: Polar wander paths, Seafloor spreading and Continental drift. Heat flow: heat transfer mechanism, thermal regime, thermal structure of the earth, volcanism, Hot spots and mantle plumes. Elastic waves: internal structure and variation physical properties in the interior of the earth."
GP 403,Earthquake and Engineering Seismology,Theory,Advanced Course.,"A - Gollapally Mohan
I - Satish Maurya","  Class Room : LT 104
FullSemester","4
Mon-4A-11:35:00-12:30:00-Class Room : LT 104
Thu-4C-09:30:00-10:25:00-Class Room : LT 104
Tue-4B-08:30:00-09:25:00-Class Room : LT 104", , ,25,,No restrictions,6.0,3.0, , , ,N,"1.T. Lay and T.C. Wallace, Modern Global Seismology, Academic Press, 1995.2.P.M.Shearer, Introduction to Seismology, Cambridge University Press, 1999.3.S. Stein and M. Wysession, An introduction to seismology, earthquakes and earth structure, Blackwell Publishing, 2003.4.B.L.N.Kennett, The seismic wavefield 302226 Vol 1, Cambridge University Press, 1999. 5.B.L.N.Kennett, The seismic wavefield 302226 Vol 2, Cambridge University Press, 2002. 6.Don L. Anderson, Theory of the Earth, Blackwell Scientific Publishing Company, 1989.7.K. Aki and P.G. Richards, Quantitative Seismology, University Science Books, 2002.8.L. Reiter, Earthquake hazard analysis: issues and insights, Columbia University Press, New York. 1990.","Introduction to seismology, Elasticity, Stress-strain relationships, Equations of motion, seismic wave equations, Body waves and ray theory, Partitioning of energy, Attenuation, anisotropy and anelasticity, Travel times in layered media, Surface waves dispersion and free oscillations, Seismometry and Principles of Digital seismographs, Seismic observatory practices, Seismogram interpretation – Nomenclature of seismic phases, Body wave travel times in earth, Internal structure and composition of the earth, Earthquakes – Seismic sources, Directivity, Scaling laws, Magnitude scales, Location, Focal mechanisms, Moment tensors, Stress drop, Earthquake characteristics, effects and distribution, Seismotectonics, Earthquake prediction, Seismic hazard and risk, Waveform modeling and Inverse problems."
GP 407,Seismology Lab,Lab,Advanced Course.,I - Satish Maurya,"  Computer Lab - 2
FullSemester","L
Tue-L2-14:00:00-16:55:00-Computer Lab - 2", , ,25,,No restrictions,3.0, , , , ,N,"1. Ota Kulhanek, Anatomy of seismograms, Elsevier, 1990.2. T. Lay and T.C. Wallace, Modern Global Seismology, Academic Press, 1995. 3. Seismic Analysis Software (SEISAN Ver. 8.1) manual, 2004.","Practical training in seismological data acquisition, processing and interpretation, Seismogram analysis and interpretation, Identification of seismic phases, Determination of earthquake parameters – location, magnitude, stress drop, focal mechanism, Seismological data analysis using standard seismological software’s."
GP 413,Mineralogy & Petrology,Theory,Advanced Course.,I - Prabhakar Naraga,"  Class Room : LT 306
FullSemester","2
Mon-2A-09:30:00-10:25:00-Class Room : LT 306
Thu-2C-11:35:00-12:30:00-Class Room : LT 306
Tue-2B-10:35:00-11:30:00-Class Room : LT 306", , ,25,,No restrictions,6.0,3.0, , , ,N,"Mukerjee, P.K. A Textbook of Geology, World Press, 1997.Rutley, F. Elements of Mineralogy, CBS, 1991.Ehlers, E.G. & Blatt, H. Petrology: Igneous, Sedimentary and Metamorphic, CBS, 1987.Pettijohn, F.J. Sedimentary rocks, III Ed., Harper & Row, 1975.Sengupta, S.M. Introduction to Sedimentology, Oxford & IBH, 1994.","Chemistry of minerals; atomic bonding; crystal structure & crystal systems; rock-forming and economic minerals; major silicate mineral groups (quartz, feldspar, pyroxene, amphibole, mica, olivine and garnet) & their diagnostic physical properties; common oxide, sulphide, sulphate and carbonate minerals; phase transformations in the Earth’s interior; basic optical mineralogy. Partial melting & generation of magmas; crystallization of magma; Bowen’s reaction series; forms of intrusive & extrusive igneous bodies; mineralogy, textures and structures of common felsic, mafic & ultramafic igneous rocks; magmatism in relation to tectonic settings; radioactivity & dating of rocks. Metamorphism and metamorphic facies; mineralogy, textures and structures of common metamorphic rocks; low grade and high grade metamorphic terranes. Formation of sediments & sedimentary rocks: their compositions, textures & structures; origin & classification of conglomerate, sandstone, shale & limestone; sedimentary environments & facies; characteristics of non-marine, transitional & marine environments."
GP 415,Mineralogy & Petrology Lab,Lab,Advanced Course.,"A - Prabhakar Naraga
I - Suresh Chandra Patel","   
FullSemester","L
Wed-LX-14:00:00-16:55:00-", , ,25,,No restrictions,3.0, , ,3.0, ,N,"1. Ness, W.D. Optical Mineralogy. 348p, Oxford University Press, 20042. Klein, C. Manual of Mineral Science, 22nd Edition. John Wiley and Sons, 2001. 3. Williams, H., Turner, F.J. and Gilbert, C.M. Petrography: An Introduction to the Study of Rocks in Thin Sections, CBS Publishers and Distributors, 1985.","Identification of rock forming minerals, megascopic and microscopic study. X-ray diffraction, Identification and classification of rocks, textures and mineral compositions of igneous, sedimentary and metamorphic rocks."
GP 503,Geophysical Signal Processing,Theory,Advanced Course.,I - Vivek Kumar,"  Class Room : LT 201
FullSemester","6
Fri-6B-11:05:00-12:30:00-Class Room : LT 201
Wed-6A-11:05:00-12:30:00-Class Room : LT 201", , ,25,,No restrictions,6.0,3.0, , , ,N,"Texts and References:1. Enders A. Robinson and Sven Trietel, Geophysical Signal Analysis, Prentice Hall, Englewood Cliffs, New Jersey, 1980. 2. Alan V. Oppenheim and Ronald W. Schaffer, Discrete Time Signal Processing, Prentice Hall, Englewood Cliffs, New Jersey, 1989. 3. John F. Clearbout, Fundamentals of Geophysical Data Processing with applications to Petroleum Prospecting, Blackwell Scientific Publications, 1985 4. Ronald N. Bracewell, The Fourier Transform and its applications, McGraw-Hill Science/Engineering/Math, 3rd edition, 1999. 5. Steven W. Smith, The Scientist and Engineer302222s guide to Digital Signal Processing, 2nd edition, California Technical Publishing, 1999. 6. T. Rikitake, R. Sato and Y. Hagiwara, Applied Mathematics for Earth Scientists, Terra Scientific Publishing Company, Tokyo, 1987. 7. S. K. Mitra, Digital signal processing 302226 a computer based approach302224 McGraw Hill International Edition, Electrical Engg. Series, 2001.","Introduction to signal processing in Geophysics; Auto correlation and cross correlation, Linear time invariant systems, Z- Transform; Laplace Transform, Transfer function, Impulse response and convolution; Fourier Transform and its properties. Bit-reversal algorithm, Fast Fourier Transform (FFT) and Discrete Fourier Transform (DFT); Power spectral estimation, Hilbert Transform, Mellin Transform; Applications in Geophysics; Introduction to digital filtering, Sampling theorem; Introduction to statistical signal processing; Introduction to Wavelet analysis in geophysics; Introduction to System modeling: auto regressive (AR), moving average (MA), Auto regressive moving average (ARMA), Maximum Entropy Method (MEM) of spectral analysis. Applications of signal processing in Geophysics."
GP 505,Electromagnetic Methods,Theory,Advanced Course.,I - Anand Singh,"  Class Room : LT 305
FullSemester","2
Mon-2A-09:30:00-10:25:00-Class Room : LT 305
Thu-2C-11:35:00-12:30:00-Class Room : LT 305
Tue-2B-10:35:00-11:30:00-Class Room : LT 305", , ,25,,No restrictions,6.0,3.0, , , ,N,"1. J. A. Edminister, Schaum302222s Outline on Electromagnetics 2nd Edition, Tata McGraw-Hill Book Co., 2004. 2. W.M. Telford, L.P.Geldart, and R.E.Sheriff, Applied Geophysics, Cambridge Univ. Press 1990. 3. M.B. Dobrin, and C.H. Savit, Introduction to Geophysical Prospecting, McGraw Hill, 1988. 4. Electromagnetic induction methods, SEG Vols 1-3, Society of Exploration. Geophysicists, 1988. 5. T. Rikitake, R. Sato and Y. Hagiwara, Applied Mathematics for Earth Scientists, Terra Scientific Publishing Company, Tokyo, 1987. 6. G. V. Keller, Electrical Methods of Geophysical Prospecting, Pergamon Press, 1980.","Differential and Integral forms of Maxwell’s Equations and Boundary conditions, Wave and Diffusion Equation, Introduction to Electromagnetic profiling and sounding methods; TURAM, SLINGRAM, VLF-EM techniques; Instrumentation for Electromagnetic field surveys; Telluric, Magnetotelluric (MT) and Transient Electromagnetic (TEM) methods of geophysical exploration; MT theory; Origin of the MT and telluric fields; Field instruments and operation for telluric, MT and TEM surveys; Data Processing and Interpretation of telluric, MT and TEM data and their uses in various geophysical studies; Introduction to Ground Penetrating Radar (GPR) technique for very shallow geophysical investigations."
GP 517,Exploration Seismology II,Theory,Advanced Course.,I - Bharath Chandra Shekar,"  Class Room : LT 305
FullSemester","4
Mon-4A-11:35:00-12:30:00-Class Room : LT 305
Thu-4C-09:30:00-10:25:00-Class Room : LT 305
Tue-4B-08:30:00-09:25:00-Class Room : LT 305", , ,25,,No restrictions,6.0,2.0,1.0, , ,N,"1. C.L. Liner, Elements of 3D Seismology, Pennwell Corporation, U.S., 2004. 2. R.E. Sheriff, and L.P. Geldart, Exploration Seismology, Cambridge Univ. Press 1995. 3. W.M. Telford, L.P. Geldart, and R.E. Sheriff, Applied Geophysics, Cambridge Univ. Press 1990. 4. M.B.Dobrin, and C.H. Savit, Introduction to Geophysical Prospecting, McGraw Hill, 1988. 5. E. S. Robinson and C. Coruh, Basic Exploration Geophysics, John Wiley and Sons, New York, 1988. 6. G.Nichols, Sedimentology and Stratigraphy, Blackwell Sci. Pub., 1999","3-D marine and land seismic data acquisition, processing and interactive 3-D interpretation, Modeling, Synthetic seismograms, Seismic stratigraphy - seismic sequences, Time significance of reflections, Depositional models, Seismic Facies Analysis, Reflection Character Analysis, Hydrocarbon indicators, Amplitude variation with Offset, Vertical Seismic Profiling, Geological interpretation of seismic sections using 3-D seismic data, Reservoir Geophysics."
GP 519,Engineering & Ground Water Geology Lab,Lab,Advanced Course.,"A - Vikram Vishal
I - D Ramakrishnan","  Class : CL 110 ESE
FullSemester","L
Tue-L2-14:00:00-16:55:00-Class : CL 110 ESE", , Biometric Enabled,25,,No restrictions,3.0, , ,3.0, ,N,"1. K.V.G.K. Gokhale, and D.M. Rao, Experiments in Engineering Geology, Tata McGraw Hill,1981. 2. V.S. Vutukuri, R.D. Lama, and S.S. Saluja, Handbook of Mechanical Properties of Rocks, Trans Tech. S.A., Switzerland, Vol 1,2,3 & 4, 1974.","Study of rocks for their mineralogical, textural, weathering and discontinuity aspects. Engineering properties of rocks, soils, clays and construction aggregates. Maps and numerical exercises. Instrumentation in engineering geology and hydrogeology. Geophysical Surveys resistivity, gravity and magnetic methods."
